Epoch,Clf loss,Aux loss
1,1.374,0.0
2,1.051,0.0
3,0.937,0.0
4,0.943,0.0
5,0.975,0.0
6,0.887,0.0
7,0.797,0.0
8,0.8,0.0
9,0.728,0.0
10,0.672,0.0
11,0.842,0.0
12,0.605,0.0
13,0.541,0.0
14,0.487,0.0
15,0.427,0.0
16,0.38,0.0
17,0.369,0.0
18,0.348,0.0
19,0.348,0.0
20,0.305,0.0
21,0.279,0.0
22,0.264,0.0
23,0.245,0.0
24,0.23,0.0
25,0.233,0.0
26,0.266,0.0
27,0.223,0.0
28,0.192,0.0
29,0.175,0.0
30,0.173,0.0
31,0.166,0.0
32,0.168,0.0
33,0.156,0.0
34,0.163,0.0
35,0.127,0.0
36,0.132,0.0
37,0.141,0.0
38,0.132,0.0
39,0.122,0.0
40,0.128,0.0
41,0.131,0.0
42,0.144,0.0
43,0.118,0.0
44,0.098,0.0
45,0.104,0.0
46,0.106,0.0
47,0.096,0.0
48,0.101,0.0
49,0.109,0.0
50,0.08,0.0
51,0.096,0.0
52,0.09,0.0
53,0.07,0.0
54,0.069,0.0
55,0.055,0.0
56,0.056,0.0
57,0.065,0.0
58,0.069,0.0
59,0.095,0.0
60,0.088,0.0
61,0.086,0.0
62,0.063,0.0
63,0.046,0.0
64,0.05,0.0
65,0.055,0.0
66,0.057,0.0
67,0.065,0.0
68,0.051,0.0
69,0.055,0.0
70,0.056,0.0
71,0.073,0.0
72,0.05,0.0
73,0.041,0.0
74,0.038,0.0
75,0.043,0.0
76,0.039,0.0
77,0.034,0.0
78,0.047,0.0
79,0.05,0.0
80,0.057,0.0
81,0.061,0.0
82,0.053,0.0
83,0.047,0.0
84,0.057,0.0
85,0.075,0.0
86,0.052,0.0
87,0.053,0.0
88,0.037,0.0
89,0.039,0.0
90,0.031,0.0
91,0.033,0.0
92,0.026,0.0
93,0.03,0.0
94,0.054,0.0
95,0.039,0.0
96,0.029,0.0
97,0.041,0.0
98,0.047,0.0
99,0.045,0.0
100,0.063,0.0
101,0.057,0.0
102,0.05,0.0
103,0.044,0.0
104,0.048,0.0
105,0.059,0.0
106,0.062,0.0
107,0.033,0.0
108,0.024,0.0
109,0.021,0.0
110,0.022,0.0
111,0.022,0.0
112,0.01,0.0
113,0.009,0.0
114,0.008,0.0
115,0.008,0.0
116,0.005,0.0
117,0.006,0.0
118,0.004,0.0
119,0.006,0.0
120,0.005,0.0
121,0.006,0.0
122,0.003,0.0
123,0.003,0.0
124,0.005,0.0
125,0.003,0.0
126,0.004,0.0
127,0.003,0.0
128,0.004,0.0
129,0.003,0.0
130,0.004,0.0
131,0.003,0.0
132,0.003,0.0
133,0.003,0.0
134,0.003,0.0
135,0.002,0.0
136,0.003,0.0
137,0.002,0.0
138,0.003,0.0
139,0.002,0.0
140,0.004,0.0
141,0.003,0.0
142,0.003,0.0
143,0.003,0.0
144,0.002,0.0
145,0.002,0.0
146,0.003,0.0
147,0.004,0.0
148,0.002,0.0
149,0.003,0.0
150,0.003,0.0
151,0.003,0.0
152,0.003,0.0
153,0.004,0.0
154,0.003,0.0
155,0.003,0.0
156,0.004,0.0
157,0.004,0.0
158,0.003,0.0
159,0.002,0.0
160,0.003,0.0
161,0.003,0.0
162,0.003,0.0
163,0.002,0.0
164,0.003,0.0
165,0.003,0.0
166,0.002,0.0
167,0.003,0.0
168,0.002,0.0
169,0.003,0.0
170,0.003,0.0
1,1.524,1.42
2,0.942,1.024
3,0.677,0.743
4,0.562,0.641
5,0.51,0.591
6,0.48,0.562
7,0.476,0.572
8,0.433,0.524
9,0.403,0.494
10,0.418,0.492
11,0.704,0.713
12,0.435,0.548
13,0.41,0.496
14,0.342,0.407
15,0.355,0.42
16,0.316,0.369
17,0.274,0.333
18,0.264,0.313
19,0.259,0.307
20,0.257,0.308
21,0.266,0.316
22,0.236,0.282
23,0.272,0.312
24,0.206,0.257
25,0.21,0.286
26,0.203,0.259
27,0.194,0.238
28,0.19,0.226
29,0.139,0.177
30,0.177,0.22
31,0.15,0.185
32,0.178,0.226
33,0.158,0.2
34,0.143,0.18
35,0.204,0.263
36,0.153,0.192
37,0.136,0.168
38,0.202,0.251
39,0.163,0.201
40,0.156,0.191
41,0.201,0.248
42,0.116,0.141
43,0.194,0.251
44,0.104,0.134
45,0.103,0.12
46,0.13,0.172
47,0.106,0.131
48,0.125,0.154
49,0.132,0.165
50,0.145,0.179
51,0.181,0.206
52,0.141,0.181
53,0.109,0.127
54,0.087,0.111
55,0.116,0.137
56,0.152,0.192
57,0.098,0.125
58,0.117,0.152
59,0.157,0.215
60,0.117,0.152
61,0.118,0.146
62,0.091,0.125
63,0.071,0.093
64,0.085,0.104
65,0.14,0.194
66,0.114,0.154
67,0.126,0.162
68,0.079,0.105
69,0.069,0.092
70,0.071,0.094
71,0.09,0.114
72,0.163,0.206
73,0.073,0.104
74,0.074,0.106
75,0.103,0.134
76,0.069,0.083
77,0.092,0.113
78,0.163,0.206
79,0.094,0.118
80,0.073,0.096
81,0.069,0.101
82,0.094,0.124
83,0.105,0.141
84,0.089,0.115
85,0.108,0.134
86,0.079,0.099
87,0.052,0.063
88,0.049,0.075
89,0.052,0.069
90,0.107,0.13
91,0.124,0.164
92,0.103,0.128
93,0.115,0.15
94,0.072,0.089
95,0.067,0.083
96,0.06,0.08
97,0.051,0.066
98,0.035,0.047
99,0.035,0.044
100,0.054,0.066
101,0.169,0.206
102,0.096,0.121
103,0.098,0.121
104,0.075,0.096
105,0.061,0.083
106,0.065,0.093
107,0.061,0.087
108,0.068,0.088
109,0.091,0.116
110,0.094,0.116
111,0.042,0.057
112,0.02,0.029
113,0.014,0.018
114,0.013,0.016
115,0.016,0.018
116,0.013,0.014
117,0.015,0.015
118,0.012,0.013
119,0.011,0.013
120,0.009,0.01
121,0.01,0.01
122,0.01,0.01
123,0.007,0.007
124,0.007,0.006
125,0.008,0.008
126,0.007,0.006
127,0.007,0.009
128,0.007,0.008
129,0.008,0.007
130,0.008,0.007
131,0.007,0.008
132,0.006,0.006
133,0.007,0.007
134,0.006,0.006
135,0.005,0.005
136,0.005,0.005
137,0.006,0.006
138,0.005,0.006
139,0.005,0.005
140,0.006,0.006
141,0.005,0.005
142,0.006,0.008
143,0.005,0.006
144,0.004,0.004
145,0.005,0.005
146,0.007,0.006
147,0.005,0.005
148,0.005,0.005
149,0.005,0.005
150,0.005,0.004
151,0.005,0.005
152,0.005,0.005
153,0.005,0.009
154,0.005,0.005
155,0.005,0.005
156,0.006,0.006
157,0.006,0.009
158,0.004,0.004
159,0.005,0.005
160,0.008,0.008
161,0.004,0.004
162,0.006,0.006
163,0.005,0.004
164,0.004,0.004
165,0.004,0.005
166,0.005,0.005
167,0.006,0.006
168,0.004,0.004
169,0.005,0.004
170,0.004,0.004
1,1.621,1.32
2,0.652,0.791
3,0.452,0.529
4,0.345,0.435
5,0.28,0.369
6,0.26,0.34
7,0.284,0.388
8,0.258,0.37
9,0.243,0.351
10,0.241,0.351
11,0.634,0.577
12,0.258,0.377
13,0.21,0.306
14,0.183,0.268
15,0.154,0.229
16,0.196,0.295
17,0.154,0.242
18,0.142,0.23
19,0.152,0.242
20,0.215,0.334
21,0.168,0.258
22,0.15,0.248
23,0.141,0.205
24,0.137,0.218
25,0.143,0.226
26,0.113,0.196
27,0.112,0.176
28,0.13,0.186
29,0.104,0.169
30,0.123,0.196
31,0.086,0.15
32,0.081,0.127
33,0.105,0.179
34,0.14,0.222
35,0.115,0.201
36,0.111,0.173
37,0.131,0.195
38,0.124,0.205
39,0.096,0.145
40,0.095,0.147
41,0.097,0.164
42,0.09,0.162
43,0.073,0.127
44,0.078,0.14
45,0.074,0.131
46,0.063,0.113
47,0.12,0.227
48,0.061,0.113
49,0.067,0.111
50,0.067,0.113
51,0.069,0.115
52,0.07,0.124
53,0.087,0.164
54,0.084,0.15
55,0.103,0.183
56,0.088,0.148
57,0.091,0.165
58,0.087,0.148
59,0.074,0.129
60,0.07,0.117
61,0.056,0.099
62,0.067,0.113
63,0.117,0.192
64,0.08,0.128
65,0.047,0.078
66,0.049,0.098
67,0.143,0.233
68,0.106,0.184
69,0.066,0.105
70,0.088,0.144
71,0.046,0.073
72,0.059,0.093
73,0.061,0.115
74,0.061,0.11
75,0.061,0.107
76,0.07,0.122
77,0.087,0.17
78,0.046,0.078
79,0.079,0.124
80,0.122,0.201
81,0.067,0.109
82,0.104,0.169
83,0.067,0.117
84,0.067,0.117
